volumen,pagina,fila_original,autor,titulo,formato,tomos,figuras,pasta,lugar,año,atado,numero,precio,transcripcion_original,continua_en_pagina,ejemplar_de,misma_obra_que
1,pagina_0011-OCR.json,4,Abreu y Berbodano (D. Joseph Antonio),Derecho publico,8º,2 tom.,No,no consta,Madrid,1746,,5,12,Abreu y Berdano (D. Joseph Antonio) De xecho publico 8° 2tom. Madrid 1746 Nº 5 12,,,
1,pagina_0011-OCR.json,5,Abreu y Berbodano (D. Joseph Antonio),[Id.] Tratados de paz de España en los Reynados de Carlos 2° Phelipe 2° y Phelipe 4°,fol.,12 tomos,No,no consta,Madrid,1746 al 1760,,306,384,"Abreu y Berdano 15 tratados de paz de España en los Reynados de Carlos 2°, Felipe 2° y Felipe 4° fol. 12 tomos. Madrid desde el 1746 al 1760. Nº 306 384",,,
1,pagina_0011-OCR.json,6,Abreu y Berbodano (D. Felix),Tratado juridico-politico sobre las presas de Mar,4º,,No,no consta,Cadiz,1746,,189,16,Abreu y Berdano (D. Felix) Tratado juxi-dico-politico sobre la preva de Mar: 4° Cadiz 1746. Nº 189 16,,,
1,pagina_0011-OCR.json,7,Abreu (Luis de),"Avisos pera o pac,ó",8º,,No,no consta,Lisboa,1659,,71,6,Abreu (Luis de) Avisos pexaopaco 8° Lisboa 1659. Nº 71 6,,,
1,pagina_0011-OCR.json,8,Abril (Pedro Simon),Gramatica Griega escrita en lengua castellana,8º,,No,no consta,Madrid,1587,,126,10,Abril (Pedro Simon) Gramatica Griega escrita en lengua castellana: 8° Madrid 1587. Nº 126 10,,,
1,pagina_0011-OCR.json,9,Abril (Pedro Simon),[Id.] Apuntamientos de como se deven reformar las doctrinas,8º,,No,no consta,Madrid,1769,,114,4,Abril (Pedro Simon) 15 apuntamientos de como se deben reformar las doctrinas. 8° Madrid 1769. Nº 114 4,,,
1,pagina_0011-OCR.json,10,Abril (Pedro Simon),Introductionis ad libros logicorum Aristotelis libri duo,12º,,No,no consta,Tudele,1572,17,,6,Ejusd. Introductionis ad libros logicorum Aristotelis libri duo: 12° Fudel 1572. Atado 17 6,,,
1,pagina_0011-OCR.json,11,Abril (Pedro Simon),Gramatica latina,8º,,No,pasta,Matriti,1769,,137,8,Ejusd. Gramatica latina 8° Paut. Matriti 1769. Nº 137 8,,,
1,pagina_0012-OCR.json,1,Abril (Pedro Simon),In Arte Grammatica,8º,,No,no consta,Matriti,1769,3,137,6,Idem in Arte Grammatica 8° 1769 137 6,,,
1,pagina_0012-OCR.json,2,Abril (Pedro Simon),Modo a reformar los Estudios,8º,,No,no consta,Madrid,1789,,111,6,Idem Modo a reformar los Estudios 8° Madrid 1789. N° 111. 6,,,
1,pagina_0012-OCR.json,3,[Anónimo],Academia Poetica,4º,,No,no consta,Madrid,1674,,33,6,Academia Poetica 4° Madrid 1674. N° 33. 6,,,
1,pagina_0012-OCR.json,4,Acciojoli (Anton Francisco),Regole ó osservazione di vari Autore intorno à la Lingua toscana,8º,,No,no consta,Firenze,1715,,118,6,Acciojoli (Anton Francisco) Regole ó osservazione di vari Autore intorno à la Lingua toscana: 8° Firenze 1715. N° 118. 6,,,
1,pagina_0012-OCR.json,5,Acebedo (Luis Alazino de),Exclamaciones políticas de Portugal,4º,,No,no consta,Lisboa,1645,,307,6,Acebedo (Luis Alazino de) Exclamaciones políticas en Portugal: 4° Lisboa 1645. N° 307. 6,,,
1,pagina_0012-OCR.json,6,Achenwall (Goter),"Jus Naturale complectens jus familie publicum, et gentium",8º,3 tom.,No,rústica,Soetingae,1781,,316,22,"Achenwall (Goter) Jus Naturale complectens jus familie publicum, et gentium: 8° 3 tom. Rost. Soetingae 1781. N° 316. 22",,,
1,pagina_0012-OCR.json,7,Achmetis (Fr. Feirim),Oneiro critica Graeco-latine,4º,,No,no consta,,1660,,79,18,Achmetis (Fr. Felix) Oratio critica Graeco-latine 4° 1660. N° 79. 18,,,
1,pagina_0012-OCR.json,8,Acosta (Christobal),Tratado de las Drogas y Medicinas de las Indias,4º,,No,no consta,Burgos,1578,,27,36,Acosta (Christobal) Tratado de las Drogas y Medicinas de las Indias 4° Burgos 1578. N° 27. 36,,,
1,pagina_0012-OCR.json,9,Acosta (Christobal),Tratado en loor de las Mugeres,4º,,No,pasta,Venecia,1592,,230,20,Acosta (Christobal) Tratado en loor de las imágenes 4° Pasta Venecia 1592. N° 230. 20,,,
1,pagina_0012-OCR.json,10,Acosta (P. Joseph),Historia natural de Indias,4º,,No,no consta,Madrid,1589,,6,30,Acosta (P. Joseph) Historia natural de Indias 4° Madrid 1589. N° 6. 30,,,
1,pagina_0012-OCR.json,11,Acosta (P. Joseph),De procuranda Indorum salute,8º,,No,no consta,Salmanticae,1589,,73,14,Acosta (P. Joseph) De procuranda Indorum salute 8° Salamanca 1589. N° 73. 14,,,
1,pagina_0012-OCR.json,12,Acosta (Jan),Commentarii in institutiones Imperatorii Justiniani cum annotationibus Marsilii aliorum quæ,4º,,No,no consta,Lugdunum Batavorum,1744,,224,45,Acosta (Jan) Commentarii in institutiones Imperatorii Justiniani cum annotationibus (mibiu.),pagina_0013-OCR.json,,
1,pagina_0013-OCR.json,2,Acosta (Jan),[Id.] Commenta in Decretales Greg. IX,4º,,No,pasta,Paris,1679,,279,45,Yd. Commenta in Decretales Greg. IX.4° Pasta Lutetis Parisiorum 1679. №279 45,,,
1,pagina_0013-OCR.json,3,[Anónimo],Acta a S.mo P. A. Domino N. Pio VI,4º,,Sí,no consta,Romæ,1782,,230,10,Acta A.S. P. A. Domino N. Pio VI. 4° fig. Roma 1762. №230 50,,,
1,pagina_0013-OCR.json,4,[Anónimo],"Acta Conciliorum, et Epistolæ Decret. per P.P. Philippum Labbeum et Gabrielem Cossartium Græco Latinæ",fol.,11 tom. 18 vol.,No,pasta,Paris,1715,,274,1500,"Acta Conciliorum, et Epistola Decret. per PP. Philippum Labcum et Gabriellem Conartium Sueco Latinae fol. mai. 11 tom. 18 vol. Paris 1715. №274 Pasta 1500",,,
1,pagina_0013-OCR.json,5,[Anónimo],Acta Eruditorum Lipsiensum,4º,2 Tom.,Sí,no consta,,1741,,56,90,Acta Exeditorum Lipsiensum 4° 2 Tom. fig. 1741 №56 90,,,
1,pagina_0013-OCR.json,6,Acuña (P. Christoval),Nuevo descubrimiento del Rio de las Amazonas,4º,,No,pasta,Madrid,1641,,212,12,Acuña (P. Christoval) Nuevo descubrimiento del Rio de las Amazonas. 4° Pasta una Vid. 1641 №212 12,,,
1,pagina_0013-OCR.json,7,Adan (D.n Vicente),Respuesta gratulatoria a D.n Anacleto de Leta,8º,,No,no consta,Madrid,1787,,214,2,Adan... (D. Vicente) Respuesta gratulatoria a D. Anacleto de Leta: 8° Madrid 1787. №214 2,,,
1,pagina_0013-OCR.json,8,[Anónimo],Additiones ad Molinam,fol.,,No,no consta,Madrid,1680,,296,15,Additiones ad Molinani fol. Matriti 1680. №296 15,,,
1,pagina_0013-OCR.json,9,[Anónimo],Adhoratio ad Ill.mum Principem Carolum V. Imperatorem,12º,,No,no consta,Antuerp.,1542,,147,10,Adoratio ad Illm. Principem Carolum V. Imperatorem 12° Antuerpiae 1542. №147 10,,,
1,pagina_0013-OCR.json,10,[Anónimo],Adiani Scena rerum,8º,,No,no consta,Antuerp.,1556,,6,8,Adiani Scena Rerum 8° Antucap. 1556. №6 8,,,
1,pagina_0013-OCR.json,11,[Anónimo],Adriani Sexti Pontificis Quæstiones quodlibeticæ ex Brixardo auctæ,8º,,No,pasta,Lugdum (Lugduni),1546,,118,6,Adiani Serti Pontifici Questiones quodlibeticæ ex Bixardo auctore: 8° Pasta Lugdun 1546. №118 6,,,
1,pagina_0013-OCR.json,12,[Anónimo],"Advertencias que dan los Catolicos Ingleses á los Catolicos de Francia, sobre el peligro en que estan de perder la Religion, si admiten a la Corona Principe herege. Traducidas del Frances al Castellano por D. Felix de Guzman",12º,,No,no consta,Madrid,1692,25,,6,Advertencias que dan los Catolicos Ingleses á los 2.908,pagina_0014-OCR.json,,
1,pagina_0014-OCR.json,2,Aedo... y Gallart (D.n Diego de),Viaje del Infante Cardenal D.n Fernando a Asturias,4º,,No,no consta,Amberes,1635,,134,18,Aedo... y Guillat (D. Diego de) Viaje del Infante Cardenal D. Fernando a Asturias Amberes 1635. N° 134. 18,,,
1,pagina_0014-OCR.json,3,Aelianus (Claudius),De Historia animalium,8º,,No,no consta,Lug.,1562,,147,8,Aelianus (Claudius) De Historia animalium Lugo 1562. N° 147. 8,,,
1,pagina_0014-OCR.json,4,Aelianus (Claudius),Variae Historiae cum notis Schefferi Graeco-latine,8º,,No,pasta blanca,Argentorati,1662,,90,24,Ejusd. Variae Historiae cum notis Schefleri Graeco-latine Argentorati 1662. N° 90 Pasta  blanca. 24,,,
1,pagina_0014-OCR.json,5,Aelianus (Claudius),Ejusdem id graece,4º,,No,no consta,Salmanticae,1555,,38,15,Ejusdem id: graece Salmanitae 1555. N° 38. 15,,,
1,pagina_0014-OCR.json,6,Aemilius (Paul),De rebus gestis Francorum,fol.,,No,no consta,Paris,1544,,119,36,Aemilius (Paul) De rebus gestis Francorum fol. Parisiis 1544. N° 119. 36,,,
1,pagina_0014-OCR.json,7,Aemsteredamii (Alardy),Similitudines in Sacris Bibliis,8º,,No,no consta,Lugduni,1543,,83,8,Hemsterdamii (Alardy) Similitudines in sacris Bibliis Lugo 1543. N° 83. 8,,,
1,pagina_0014-OCR.json,8,Aerodius (Petrus),"De origine et autoritate rerum judicatarum, atque Quaestionum juris civilis",8º,,No,no consta,Paris,1573,,237,6,"Aaxodius (Petrus) De origine et autoritate rerum judicatarum, atque quaestionum juris civilis Parisiis 1573. N° 237. 6",,,
1,pagina_0014-OCR.json,9,Aerodius (Petrus),"[De origine et autoritate rerum judicatarum, atque Quaestionum juris civilis]",fol.,,No,no consta,Coloniae Allobrogum,1677,,243,30,Ejusd. id: fol. Coloniae Allobrogum 1677. N° 243. 30,,,1|pagina_0014-OCR.json|8
1,pagina_0014-OCR.json,10,Aeschylus,"Poetae tragoediae, ex graeco in latinum versae à Joa. Sanravio (Sarabio)",8º,,No,no consta,Basileae,1555,13,,6,"Aeschylus Poetae tragicae, ex greco in latinum versa à Joa. Sarabio 8° Paris. Basilea 1555 Atado 13",pagina_0015-OCR.json,,
1,pagina_0015-OCR.json,1,Aeschylus,"Sophoclis, et Euripidis Tragœdiæ selectæ cum duplici interpret. latina",16º,,No,pasta blanca,London,1567,7,,10,"Ejusd. Sophoclis, et Euripidis Tragœdiæ selectæ cum duplici interpret. latina 16.° Pasta blanc. London 1567. Atado 7. 1567 16.° 10",,,
1,pagina_0015-OCR.json,2,Aesopi,Fabulæ aliquot græcæ,8º,,No,no consta,Antuerpiæ,1581,12,,4,Aesopi Fabulæ aliquot græcæ 8.° Antuerpiæ 1581. Atado 12. 1581 8.° 4,,,
1,pagina_0015-OCR.json,3,Aesopi,"Eæd. græce, et latine",8º,,No,no consta,Basileæ,1544,,5,12,"Ejusd. Eæd. græce, et latine 8.° Basileæ 1544. N.º 5. 1544 8.° 12",,,
1,pagina_0015-OCR.json,4,Aesopi,[it.] Traducidas al Castellano por Simon Abril,8º,,No,no consta,Valencia,1760,,4,4,Ejusd. Traducidas al Castellano por Simon Abril 8.° Valencia 1760. N.º 4. 1760 8.° 4,,,
1,pagina_0015-OCR.json,5,Aesopi,[it.] Por el Infante D.n Enrique,fol.,,No,no consta,Sevilla,1538,,10,30,Ejusd. Por el Infante D.ª Enríquez fol. Sevilla 1538. N.º 10. 1538 fol. 30,,,
1,pagina_0015-OCR.json,6,Aesopi,[it.] En verso Castellano por Cepeda,8º,,No,no consta,Sevilla,1590,,2,8,Ejusd. En verso Castellano por Cepeda 8.° Sevilla 1590. N.º 2. 1590 8.° 8,,,
1,pagina_0015-OCR.json,7,Afan de Rivera (D.ª Fulgenio),"Virtud al uso, y Mistica ala moda",8º,,No,pasta,Madrid,1794,,158,4,"Afan de Rivera (D.ª Fulgenio) Virtud al uso, y Mistica ala moda 8.° Pasta blanc. mad. 1794. N.º 158. 1794 8.° 4",,,
1,pagina_0015-OCR.json,8,[Anónimo],Politici raccolti dall'Historia del Bisaccione,4º,,No,no consta,Lecce,1661,,236,6,Afoismi Polítici raccolti dall’Historia del Risaccone 4.° Lecce 1661. N.º 236. 1661 4.° 6,,,
1,pagina_0015-OCR.json,9,"Afanca, y Mendoza (Joseph)",El discreto tertuliante 8.° primera parte,8º,,No,no consta,Madrid,1759,31,,4,"Afanca, y Mendoza (Joseph) El discreto tertuliano 8.° primera parte. Mad. 1759. Atado 31. 1759 8.° 4",,,
1,pagina_0015-OCR.json,10,Afri.....Optati,De schismate Donatistarum adversus Parmenium. Trat,8º,,No,no consta,Paris,1563,,262,4,Afi — Optati De schismate Donatistarum ad versus Parmenium Trat. 8.° Parisiis 1569. N.º 262. 1569 8.° 4,,,
1,pagina_0015-OCR.json,11,Africani..(Chorippi),De Laudibus Justini Augusti minoris. lib,8º,,No,no consta,Antuerpiæ,1581,,2,12,Africanus (Chorippi) De Laudibus Justini Augusti minoris. lib. 8.° Anverpie 1581. N.º 2. lib. 8.° Anverpie 1581. N.º 2. 1581 8.° 12,,,
1,pagina_0015-OCR.json,12,Agathia,"De imperio, et rebus gestis Justiniani græco=latine",4º,,No,no consta,Lugd. Batav.,1594,,77,30,"Agathia De imperio, et rebus gestis Justiniani græco et latine 4.° Lugd. Batav. 1594. N.º 77. 1594 4.° 30",,,
1,pagina_0016-OCR.json,1,Agostino (Francisco),Catologo di Scrittori Piemontesi,4º,,No,no consta,Turino,1614,,56,8,Agostino (Francisco) Catologo di Scrittori Piemontesi 4º Turino 1614 56 8,,,
1,pagina_0016-OCR.json,2,Agreda (María Jesús de),Sus obras,fol.,3 tom,No,no consta,Mad.,1670,,107,120,Agreda (María Jesús de) Sus obras 3 fol. 1670 107 120,,,
1,pagina_0016-OCR.json,3,Agreda (D. Diego),"Historia de Leucippe, y Clitofonte",12º,,No,no consta,Mad.,1617,17,,5,"Agreda (D. Diego) Historia de Europa, y Círculo fonte 12º 1617 Atado 17 3",,,
1,pagina_0016-OCR.json,4,Agricola (Georgius),"De mensuris, et ponderibus Romanorum",fol.,,No,pasta,Basilee,1580,,1,36,"Agricola (Georgius) De mensuris, et ponderibus Romanorum fol. Basilea 1580 Nº 1 Pasta 36",,,
1,pagina_0016-OCR.json,5,Agricola (Georgius),"[De mensuris, et ponderibus Romanorum]",8º,,No,no consta,Venet.,1535,,80,6,Agricola (Georgius) Ejusd. id. Venet. 8º 1535 80 6,,,1|pagina_0016-OCR.json|4
1,pagina_0016-OCR.json,6,Agricola (Georgius),De re metalica,fol.,,No,no consta,Basilee,1561,,1,75,Agricola (Georgius) id. de re metallica fol. Basilea 1561 1 75,,,
1,pagina_0016-OCR.json,7,Agricola (Georgius),De subterraneis,fol.,,No,pasta,[Basilee],1546,,1,45,Agricola (Georgius) id. de subterraneis Ibid 1546 Nº 1. Pasta 45,,,
1,pagina_0016-OCR.json,8,Agricola (Rodolphus),De inventione dialectica,4º,,No,no consta,Pari,1538,,14,24,Agricola (Rodolphus) De inventione dialectica 4º París 1538 14 24,,,
1,pagina_0016-OCR.json,9,Agricola (Rodolphus),[id.] Cum quorundam Comment,4º,2 tom,No,no consta,Colonie,1539,,12,30,Agricola (Rodolphus) Ejusd. id. cum quorundam Comment. 4º 2 Colonia 1539 12 30,,,
1,pagina_0016-OCR.json,10,Aguar (Juan de),Apologia por la Cathedral del Aseu contra la del Pilar de Zaragoza,4º,,No,no consta,Zaragoza,1688,,111,12,Aguar (Juan de) Apología por la Cathedral del Pilar a Zaragoza 4º Zaragoza 1688 111 12,,,
1,pagina_0016-OCR.json,11,Aguayo (Dn Juan de Castilla),El perfecto Regidor,8º,,No,no consta,Salamanca,1586,,39,24,Aguayo (D. Juan de Castilla) El perfecto Regidor 8º Salamanca 1586 39 24,,,
1,pagina_0016-OCR.json,12,Aguila (D. Dn Pedro),Breve Satisfacción,4º,,No,no consta,Pamplona,1653,,299,6,Águila (D. D. Pedro) Breve Satisfacción 4º Pamplona 1653 299 6,,,
1,pagina_0016-OCR.json,13,Aguilar (Fr. Thomas),Breve Rethorices Compendium traducido al Castellano,12º,,No,no consta,Hispali,1669,,19,3,Aguilar (Fr. Thomas) Breve Rethorica Traducido al Castellano 12º Hispani 1669 19 3,,,
1,pagina_0016-OCR.json,14,Aguilar (Fr. Thomas),Opuscula Grammaticalia,8º,2 tom,No,no consta,Hispani,1668,3,2,8,Aguilar (Fr. Thomas) Ejusd. opuscula Grammaticalia 8º 2 Hispani 1668 Atado 3 8,,,
1,pagina_0016-OCR.json,15,Aguilar (Dn Manuel Benito Fiel),La literatura Española demostrada por D. Nicolas Antonio,8º,,No,no consta,Madrid,1787,,214,4,Aguilar (D. Manuel Benito Fiel) La literatura Española demostrada por D. Nicolás Ant. 8º Madrid 1787 214 4,,,
1,pagina_0017-OCR.json,1,Aguilar (Conde de),Defensorio de la Religiosidad delos Cavalleros Militares,fol.,,No,no consta,Madrid,1731,,151,12,Aguilar (Conde de) Defensio de la Religiosidad de los Cavalleros Militares fol. Mad. 1731 Nº 151 12,,,
1,pagina_0017-OCR.json,2,Aguilera (Joa),Canones Astrolabii universalis,8º,,No,no consta,Salmanticae,1554,,81,5,Aguileza (Joa) Canones Astrologici Universales 8º Salmanticae 1554 Nº 81 5,,,
1,pagina_0017-OCR.json,3,Aguilera (Fr. Joseph),Tractatus Summularum,4º,,No,no consta,,1720,17,,4,Aguileza (Fr. Joseph) Tractatus Summulorum 42º 1720. Arado 17 4,,,
1,pagina_0017-OCR.json,4,Aguilon (Pedro a),Historia del Duque Carlos de Borgoña,4º,,No,no consta,Pamplona,1587,,124,20,Aguilon (Pedro a) Historia del Duque Carlos de Borgoña 4º Pamplona 1587 Nº 124 20,,,
1,pagina_0017-OCR.json,5,Aguirre (Michaelis),Responsum de successione Regni Portugalliae,fol.,,No,no consta,Venetiis,1581,,305,15,Aguiarre (Michaelis) Responsum de successione Regni Portugalliae fol. Smeting 1581 Nº 305 15,,,
1,pagina_0017-OCR.json,6,Aguirre (P. Joaquin),Apologia de Virgilio,4º,,No,no consta,Madrid,1704,,20,6,Aguirre (P. Joaquin) Apologia de Virgilio 4º mad. 1704 Nº 20 6,,,
1,pagina_0017-OCR.json,7,Aguirre (D.n Iñigo),Vida de S.to Domingo de Guzman en verso Castellano,4º,,No,no consta,Madrid,1641,,20,6,Aguirre (D. Diego) Vida de S. Domingo de Guzman en verso castellano 4º Mad. 1641 Nº 20 6,,,
1,pagina_0017-OCR.json,8,Aguirre (Josef Saenz),Philosophia Moralis,fol.,2 tom. 1 volum.,No,no consta,Roma,1698,,14,45,Aguirre (Josef Saenz) Philosophia Moralium fol. 2 tom. 1 volum. Romae 1698 Nº 14 45,,,
1,pagina_0017-OCR.json,9,Aguirre (Josef Saenz),Defensio Cathedrae S. Petri,fol.,,No,no consta,Matriti,1683,,268,45,Ejusdem Defensio Cathedrae S. Petri fol. Matriti 1683 Nº 268 45,,,
1,pagina_0017-OCR.json,10,Aguirre (Josef Saenz),"Notitia Conciliorum Hispaniae, atq. novi orbis, et aliorum ad eandem rem pertinentium",8º,,No,no consta,Salmant.,1686,,227,6,"Ejusdem Notitia Conciliorum Hispaniae, atq. novi orbis, et aliorum ad eam dem exemplarum 8º Salmant. 1686 Nº 227 6",,,
1,pagina_0017-OCR.json,11,Aguirre (Josef Saenz),"Collectio Conciliorum omnium Hispaniae, et novi Orbis, cum notis, et dissertationibus",fol.,6 tom.,No,no consta,Roma,1753,,266,700,"Ejusdem Collectio Conciliorum omnium Hispaniae, et novi Orbis, cum notis, et dissertationibus fol. 6 tom. Romae 1753 Nº 266 700",,,
1,pagina_0017-OCR.json,12,Aiora (D.n Antonius),De partitionibus bonorum,4º,,No,no consta,Coloniae Allobrog.,1734,,227,15,Aiora (D. Antonius) Deparationibus bonorum 4º Coloniae Allobrog 1734 Nº 227 15,,,
1,pagina_0018-OCR.json,1,Aitzmeza (León),Historia Pacis Hollandiae,4º,,No,pasta blanca,Lugduni,1654,,187,40,Aitzmeza (León) Historia Pacis Hollandiae 4.º Past. blanc. Lugduni 1654. Nº 187 40,,,
1,pagina_0018-OCR.json,2,Ajofrin (Fr. Franco de),Vida y Milagros del Veato Lorenzo de Brindis,4º,,No,no consta,Madrid,1784,,194,16,Ajofrín (Fr. Francisco de) Vida y Milagros del Venerable Lorenzo de Dávila 4.º Mad. 1784. Nº 194 16,,,
1,pagina_0018-OCR.json,3,Ajofrín (Fr. Francisco de),Compendio de la vida de Sn Fidel de Sigmaringa,8º,,No,pasta,Madrid,1786,,193,7,Ajofrín (Fr. Francisco de) Compendio de la vida de S. Fidel de Sigüenza 8.º Past. Mad. 1786. Nº 193 7,,,
1,pagina_0018-OCR.json,4,"Alaba, y Viamont (Dn Diego de)",El perfecto Artillero,fol.,,Sí,no consta,Madrid,1590,,66,45,"Alaba, y Viaront (D. Diego de) El perfecto Artillero fol. con fig. Mad. 1590. Nº 66 45",,,
1,pagina_0018-OCR.json,5,Alagon (Dn Artal Conde de Sastago),Concordia de las Leyes Divinas y humanas,4º,,No,no consta,Madrid,1593,,13,12,Alagón (D. Antal Conde de Santiago) Concordia en las Leyes Divinas y Humanas 4.º Mad. 1593. Nº 13 12,,,
1,pagina_0018-OCR.json,6,Alarcon (Dn Antonio Suarez de),Commentarios a los hechos del Sr Alarcon Marqs de la Valle Siciliana,fol.,,No,no consta,Madrid,1665,,35,40,Alarcón (D. Antonio Suárez de) Commentarios a los hechos del V. Alarcón Marqués de la Valle Siciliana fol. Mad. 1665. Nº 35 40,,,
1,pagina_0018-OCR.json,7,Alava et Esquivel (D. Didacus),De Conciliis universalibus,fol.,,No,no consta,Granatae,1552,,268,15,Alava et Eguivel (D. Didacus) De Conciliis universalibus fol. Gramatae 1552. Nº 268 15,,,
1,pagina_0018-OCR.json,8,Albanus (Jo Hieron.),De Potestate Papae et Concilii,4º,,No,no consta,Lugduni,1558,,272,12,Albanus (Jo Hieron.) De Potestate Papae et Concilii 4.º Lugduni 1558. Nº 272 12,,,
1,pagina_0018-OCR.json,9,Albanus (Jo Hieron.),De Cardinalatu Liber ad Paul. tert.,4º,,No,no consta,Roma,1541,,303,10,Albanus (Jo Hieron.) Ejusd. De Cardinalatu libertate Sanct. tert. 4.º Romae 1541. Nº 303 10,,,
1,pagina_0018-OCR.json,10,Albertinus (Arnaldus),"De agnoscendis Assertionibus catholicis, et haereticis",4º,,No,no consta,Roma,1572,,186,15,"Albertinus (Arnaldus) De agnoscendis Assertionibus Catholicis, et haereticis 4.º Romae 1572. Nº 186 15",,,
1,pagina_0018-OCR.json,11,"Alberti, Florentin (Leon Bautista)",Historia del Dios Momo traducida en Castellano por Agustín Almazán,fol.,,No,no consta,Madrid,1553,,10,45,"Alberti, Florentin (Leon Bautista) Historia del Dios Momo traducida en Castellano por Agustín Almazán fol. Mad. 1553. Nº 10 45",,,
1,pagina_0019-OCR.json,1,Albienis (Petri Gillii),Nova descriptio elephantis,12º,,No,no consta,,,,147,4,Albienis (Petri Gillii) Nova descriptio elephantis 12º Nº147 4,,,
1,pagina_0019-OCR.json,2,Albornoz (Card.),Aegidianae constitutiones cum additionib Caballini,fol.,,No,no consta,Venet.,1571,,35,40,Albornoz (Card.) Aegidiana constitutiones cum additionibus Caballini Venet. 1571 35 40,,,
1,pagina_0019-OCR.json,3,Albornoz (D. Diego),"Cartilla política, y christiana",4º,,No,no consta,Madrid,1666,,252,40,"Albornoz (D. Diego) Cartilla política, y christiana 4º Mad. 1666 252 40",,,
1,pagina_0019-OCR.json,4,Alburquerque (Alfonso),Sin comentarios,fol.,,No,no consta,Lisboa,1576,,131,36,Alburquerque (Alfonso) Sin comentarios Lisboa 1576 131 36,,,
1,pagina_0019-OCR.json,5,Alburqueque Coello (Duarte),Memorias diarias de la Guerra del Brasil,4º,,No,no consta,Madrid,1654,,157,24,Alburquerque Coello (Duarte) Memorias diarias de la Guerra al Brasil 4º Mad. 1654 157 24,,,
1,pagina_0019-OCR.json,6,Alburqueque (Franco de),Discursos ofrecidos á causa del Rey Dom. Ioam Nosso Senhor,4º,,No,pasta,Lisboa,1641,,220,15,Alburquerque (Francisco de) Discursos ofrecidos a la ocasión del Rey Dom. Joam Nosso Senhor 4º Lisboa 1641 220 15,,,
1,pagina_0019-OCR.json,7,Alcagniciense (F. Thomas),Nueva Pragmática de reformación contra los abusos,12º,,No,no consta,Zaragoza,1635,,315,6,Alcagniciense (F. Thomas) Nueva Pragmática de reformación contra los abusos 12º Zaragoza 1635 315 6,,,
